"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2016yr","2016/01/29","17","ESO 306-G016","05:39:57.45,05:39:57.48,05:39:57.456","-40:30:57.84,-40:30:57.8,-40:30:58.32,-40:30:57.96","0.037279,0.037279","Ia","8","1",""
"SN2017on","2017/01/22","18.47","","04:09:46.89,04:09:46.891,04:09:46.896","+24:53:46.82,+24:53:46.68,+24:53:46.7","0.035,0.035","Ia","8","1",""
"SN2000dp","2000/10/02","16.8","NGC 1139","02:52:44.41","-14:31:54.7,-14:31:54.70","0.034521","Ia","7","4",""
"PTF09dnp","2009/08/18","16.8","","15:19:25.360,15:19:25.44,15:19:25.34,15:19:24.432","+49:30:04.83,+49:30:05.04,+49:30:05.0,+49:29:56.4","0.03717","Ia","7","5",""
"SN2006ha","2006/09/27","18.4","IC 1461","22:58:34.30,22:58:34.32","+15:10:25.8,+15:10:25.68,+15:10:25.79","0.03065,0.03084","Ia","7","1",""
"SN2007mp","2007/10/12","19.65","SDSS J11635.94-004613.1","21:16:35.63,21:16:35.52","-00:46:11.6,-00:46:11.5824,-00:46:11.9424,-00:46:11.60","0.05991","Ia","7","2",""
"SN2011gk","2011/09/06","18","UGC 1523","02:02:19.02,02:02:18.77","+19:39:39.6,+19:39:39.60,+19:39:39.5,+19:39:30.9","0.043,0.044","Ia","7","1",""
"SN2012di","2012/06/14","","A140806+5803","14:08:06.69,14:08:07.0,14:08:06.72","+58:03:07.7,+58:03:07.70,+58:03:08.0,+58:03:07.56","0.07","Ia","7","1",""
"SSS120816:012937-175040","2012/08/16","","","01:29:37.48,01:29:37.488","-17:50:40.3,-17:50:40.56","0.07","Ia","7","1",""
"CSS151120:044526-190158","2015/11/20","","","04:45:25.70,04:45:25.71,04:45:25.704","-19:01:57.5,-19:01:57.36","0.073","Ia","7","1",""
"PS15bvx","2015/09/05","18.97","2MASX J21471478+0749383","21:47:15.67","+07:49:47.4","0.077","Ia","7","1",""
"PS15coo","2015/10/24","18.22","SDSS J025930.81-081310.3","02:59:30.75","-08:13:10.5,-08:13:10.4","0.038","Ia","7","1",""
"PS15drg","2015/12/29","18.49","2MASX J12193467-2558110","12:19:34.33","-25:58:06.2","0.056","Ia","7","1",""
"SN2016arh","2016/02/03","18.43","","11:10:06.28,11:10:06.24","+08:43:13.99,+08:43:13.7,+08:43:13.656,+08:43:13.116","0.074","Ia","7","2",""
"SN2016ayg","2016/03/10","17.86","SDSS J073017.25+250153.5","07:30:17.40,07:30:17.28","+25:01:55.99,+25:01:55.9,+25:01:55.2","0.046,0.046","Ia","7","1",""
"SN2016cct","2016/05/12","16.9","UGC 6434","11:25:35.74,11:25:35.741,11:25:35.64,11:25:35.76","+32:19:17.48,+32:19:18.2,+32:19:17.4","0.034334,0.034334","Ia","7","1",""
"SN2016cyt","2016/07/02","17.9","NGC 7033","21:09:35.83,21:09:35.830,21:09:35.84","+15:07:31.80,+15:07:31.6","0.030374","Ia","7","1",""
"SN2016czr","2016/07/08","18.1","SDSS J164536.92+214924.5","16:45:37.25,16:45:37.250,16:45:37.2","+21:49:19.30,+21:49:20.64","0.04,0.04","Ia","7","1",""
